source_index,proposition_id,house,type,number,year,title,old_severity,old_structural_type,old_assessments,issues,action,proposed
78,alrs:disp-e-sobre-a-prioriza-o-de-,alrs,pl,1,2026,Dispõe sobre a priorização de filhos e dependentes de vítimas de feminicídio no acesso a políticas públicas sociais e educacionais no âmbito do Estado do Rio Grande do Sul e dá outras providências.,4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | JUDGMENT_MISMATCH_WITH_CORRECTED_MATRIX | WRONG_SEVERITY:4->3,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|163|2025"", ""severity"": 3, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""criancas_adolescentes_vulnerabilidade"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.96}]}"
79,alrs:institui-o-programa-teacolhe-,alrs,pl,1,2026,"Institui o Programa TEAcolhe, no âmbito da Secretaria da Saúde do Estado do Rio Grande do Sul.",3,structural,"[{""group"": ""pessoas_com_deficiencia"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
80,alrs:institui-mecanismo-de-indeniza,alrs,pl,1,2026,Institui mecanismo de indenização automática para consumidores afetados por interrupções no fornecimento de energia elétrica no Estado do Rio Grande do Sul e dá outras providências.,4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
81,alrs:altera-os-artigos-2-4-5-e,alrs,pl,1,2026,"Altera os Artigos 2º, 4º, 5º e 7º da Lei Estadual nº 13.540, de 29 de novembro de 2010, que autoriza a concessão de auxílio-refeição no âmbito do Tribunal de Contas do Estado do Rio Grande do Sul e dá outras providências.",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
82,alrs:altera-a-lei-n-13-821-de-25-,alrs,pl,1,2026,"Altera a Lei nº 13.821, de 25 de outubro de 2011, que cria o Quadro de Pessoal dos Serviços Auxiliares da Defensoria Pública do Estado, altera seu Quadro de Cargos em Comissão e Funções Gratificadas e dá outras providências. (SEI 11778-01.00/23-0)",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
83,alrs:altera-a-lei-n-13-253-de-17-,alrs,pl,1,2026,"Altera a Lei nº 13.253, de 17 de setembro de 2009, que institui o plano de Empregos, Funções e Salários da Caixa Estadual S.A. - Agência de Fomento/RS, cria os empregos permanentes e as funções em comissão – e dá outras providências. (SEI 9625-01.00/23-6)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
84,alrs:altera-a-lei-n-14-279-de-26-,alrs,pl,1,2026,"Altera a Lei nº 14.279, de 26 de julho de 2013, que “institui a Política Estadual de Atendimento Imediato, de Urgência e de Emergência, às Mulheres em Situação de Violência Física, Sexual e Psíquica no Estado do Rio Grande do Sul e dá outras providências”. (SEI 7863.0100/20-5)",4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | WRONG_SEVERITY:4->3,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|444|2019"", ""severity"": 3, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]}"
85,alrs:altera-a-lei-n-16-165-de-31-,alrs,pl,1,2026,"Altera a Lei nº 16.165, de 31 de julho de 2024, que reorganiza os quadros, as carreiras e reajusta as remunerações dos servidores públicos do Poder Executivo do Estado do Rio Grande do Sul, institui o Quadro das Carreiras Transversais de Nível Superior do Poder Executivo do Estado do Rio Grande do Sul e cria as carreiras de Analista de Políticas Públicas e Gestão Governamental, de Especialista em",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
86,alrs:disp-e-sobre-a-gest-o-democr-t,alrs,pl,1,2026,Dispõe sobre a Gestão Democrática do Ensino nas Escolas Públicas Estaduais e dá outras providências. (SEI 16381-01.00/23-6),3,structural,"[{""group"": ""educacao_estudantes"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:educacao_estudantes | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
87,alrs:disp-e-sobre-a-cria-o-do-carg,alrs,pl,1,2026,"Dispõe sobre a criação do cargo de 4.º Promotor de Justiça da Promotoria de Justiça de Estrela, de Entrância Intermediária - Lei n. 7.669, de 17 de junho de 1982 – Lei Orgânica do Ministério Público do Estado do Rio Grande do Sul.",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
88,alrs:altera-a-lei-n-15-166-de-27-,alrs,pl,1,2026,"Altera a Lei nº 15.166, de 27 de abril de 2018, que institui a Rota Turística Vale do Caí no Estado do Rio Grande do Sul e dá outras providências. (SEI 5128-0100/21-8)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
89,alrs:altera-a-lei-n-9-434-de-27-,alrs,pl,1,2026,"Altera a Lei n.º 9.434, de 27 de novembro de 1991, que autoriza a extinção da Fundação Gaúcha do Trabalho - FGT e da Fundação SulRiograndense de Assistência ”Senador Tarso Dutra” - FUNDASUL e a criação da Fundação Gaúcha do Trabalho e Ação Social. (SEI 5065-0100/23-5)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
90,alrs:disp-e-sobre-san-es-administr,alrs,pl,1,2026,"Dispõe sobre sanções administrativas e restrições aplicadas aos ocupantes e invasores de propriedades rurais e urbanas, no âmbito do Estado do Rio Grande do Sul. (SEI 5869-0100/23-1)",3,budgetary,"[{""group"": ""saude_usuarios_sus"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:saude_usuarios_sus | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
91,alrs:estabelece-as-diretrizes-para-,alrs,pl,1,2026,Estabelece as diretrizes para a política de atenção integral aos portadores da doença de Parkinson no Estado do Rio Grande do Sul. (SEI 7872.0100/20-4),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
92,alrs:disp-e-sobre-o-regulamento-ger,alrs,pl,1,2026,"Dispõe sobre o Regulamento Geral da Assembleia Legislativa do Estado do Rio Grande do Sul, nos termos do art. 267 da Resolução n.º 2.288, de 18 de janeiro de 1991 – Regimento Interno –, e dá outras providências.",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
93,alrs:institui-em-todo-territ-rio-g,alrs,pl,1,2026,"Institui, em todo território gaúcho o selo “PET Friendly” como forma de certificação oficial aos estabelecimentos privados ou públicos que promovam o bem-estar animal e dá outras providências.(SEI 6368-01.00/23-5)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
94,alrs:disp-e-sobre-a-cria-o-das-def,alrs,pl,1,2026,"Dispõe sobre a criação das Defensorias Públicas Especializadas no Atendimento à Vítima de Violência Doméstica e Feminicídio e dos respectivos Cargos de Defensor Público e de Servidores do Quadro de Pessoal dos Serviços Auxiliares e do Quadro de Cargos em Comissão e Funções Gratificadas da Defensoria Pública do Estado, e dá outras providências. (SEI 15911-0100/23-5)",4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | WRONG_SEVERITY:4->3,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|492|2023"", ""severity"": 3, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]}"
95,alrs:institui-no-mbito-do-poder-e,alrs,pl,1,2026,"Institui, no âmbito do Poder Executivo, o Programa de Segurança, Prevenção e Proteção contra Incêndio das edificações afetadas ao serviço público estadual, especialmente as destinadas ao funcionamento de escolas públicas da rede estadual de ensino, a fim de que obtenham Alvará de Prevenção e Proteção Contra Incêndios – APPCI ou de Certificado de Licenciamento do Corpo de Bombeiros – CLCB, conforme",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
96,alrs:altera-a-lei-n-15-935-de-1-d,alrs,pl,1,2026,"Altera a Lei nº 15.935, de 1 de janeiro de 2023, que institui o Novo Quadro Geral dos Cargos em Comissão e Funções Gratificadas do Poder Executivo, regulamenta a gratificação pelo exercício de direção e device-direção de Escola da Rede Pública Estadual de Ensino, fixa a remuneração mensal dos dirigentes de autarquias, fundações autárquicas, órgãos e entidades especiais, dispõe sobre a equipe de tr",3,structural,"[{""group"": ""educacao_estudantes"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:educacao_estudantes | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
97,alrs:institui-o-plano-rio-grande-p,alrs,pl,1,2026,"Institui o Plano Rio Grande, programa de Reconstrução, Adaptação e Resiliência Climática do Estado do Rio Grande do Sul, cria o Fundo do Plano Rio Grande - FUNRIGS - e dá outras providências. (Prazo Fatal: 15/06/2024)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
98,alrs:altera-a-reda-o-da-lei-estadu,alrs,pl,1,2026,"Altera a redação da Lei Estadual n° 9.594 de 20 de março de 1992, que criou o Município de Sério, para fins de corrigir os limites entre os Municípios de Sério e Boqueirão do Leão.(SEI 6916-01.00/23-0)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
99,alrs:institui-o-dia-estadual-da-pe,alrs,pl,1,2026,Institui o “Dia Estadual da Pessoa Surdocega” no âmbito do Estado do Rio Grande do Sul e dá outras providências.(SEI 5802.0100/20-7),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
100,alrs:cria-o-programa-pr-hospitais-,alrs,pl,1,2026,"Cria o Programa Pró-Hospitais – PPH/RS, no âmbito do Estado do Rio Grande do Sul. (SEI 12686-0100/23-5)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
101,alrs:regulamenta-a-constitui-o-e-o,alrs,pl,1,2026,"Regulamenta a constituição e o funcionamento do ambiente regulatório experimental, denominado Sandbox Regulatório, no Estado do Rio Grande do Sul. (SEI 7395-0100/23-0)",3,budgetary,"[{""group"": ""saude_usuarios_sus"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:saude_usuarios_sus | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
102,alrs:altera-a-lei-n-13-697-de-05-,alrs,pl,1,2026,"Altera a Lei nº 13.697, de 05 de abril de 2011, que dá nova redação à Lei n.º 533, de 31 de dezembro de 1948, Estatutos do Instituto Rio Grandense do Arroz, e dá outras providências.",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
103,alrs:disp-e-sobre-o-percentual-m-ni,alrs,pl,1,2026,Dispõe sobre o percentual mínimo de 30% dos recursos aplicados pelo Estado do Rio Grande do Sul na aquisição de produtos da agricultura familiar gaúcha para a alimentação escolar na rede pública estadual de ensino. (SEI 6518-0100/23-2),3,structural,"[{""group"": ""educacao_estudantes"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:educacao_estudantes | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
104,alrs:altera-a-lei-n-15-366-de-05,alrs,pl,1,2026,"Altera a Lei n.º 15.366, de 05 de novembro de 2019, que proíbe a queima e a soltura de fogos de estampidos e de artifícios, assim como de quaisquer artefatos pirotécnicos festivos de efeito sonoro ruidoso no Estado do Rio Grande do Sul e dá outras providências.(SEI 11446-0100/21-8)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
105,alrs:disp-e-sobre-a-suspens-o-dos-p,alrs,pl,1,2026,"Dispõe sobre a suspensão dos prazos para interposição de recursos e prática de atos processuais pelas partes e seus advogados no âmbito de processos administrativos, inclusive disciplinares e sindicâncias punitivas, inquéritos e conselhos de justificação e disciplina referentes à apuração e aplicação de sanções disciplinares aos servidores públicos e aos militares estaduais, previstos no regime ún",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
106,alrs:disp-e-sobre-a-garantia-do-dir,alrs,pl,1,2026,"Dispõe sobre a garantia do direito de preferência das mulheres vítimas de violência doméstica à matrícula e à transferência dos filhos, ou de crianças e adolescentes sob sua guarda, nas escolas da Rede Estadual de Ensino do Estado do Rio Grande do Sul. (SEI 4421-0100/21-6)",4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | WRONG_SEVERITY:4->3,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|146|2019"", ""severity"": 3, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]}"
107,alrs:disp-e-sobre-a-regulariza-o-f,alrs,pl,1,2026,Dispõe sobre a regularização fundiária de imóveis rurais utilizados para implementação do Programa Estadual de Reforma Agrária no âmbito do Estado do Rio Grande do Sul.(SEI 10252-01.00/21-5),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
108,alrs:cria-a-pol-tica-estadual-de-ap,alrs,pl,1,2026,"Cria a Política Estadual de Apoio e Fomento ao Desassoreamento de rios, arroios, açudes, lagos, lagoas, lagunas e canais visando à prevenção e minimização dos efeitos e danos causados por enchentes, inundações e alagamentos no território gaúcho, reconhece a atividade de desassoreamento como de relevante interesse social do Estado do Rio Grande do Sul; e dá outras providências.",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
109,alrs:altera-a-lei-n-15-516-de-08-,alrs,pl,1,2026,"Altera a Lei n. 15.516, de 08 de setembro de 2020, que estabelece Plano de Cargos, Carreiras e Salários – PCCS – no Quadro de Pessoal de Provimento Efetivo dos Serviços Auxiliares do Ministério Público do Estado do Rio Grande do Sul e dá outras providências. (SEI 11443-0100/23-6)",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
110,alrs:disp-e-sobre-a-doa-o-de-medic,alrs,pl,1,2026,"Dispõe sobre a doação de medicamentos ao Estado do Rio Grande do Sul por  indústrias farmacêuticas, laboratórios e distribuidoras.(SEI 1721-0100/22-7)",3,budgetary,"[{""group"": ""saude_usuarios_sus"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:saude_usuarios_sus | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
111,alrs:altera-a-lei-n-14-877-de-9-d,alrs,pl,1,2026,"Altera a Lei nº 14.877, de 9 de junho de 2016, que dispõe sobre a cedência de servidores da área da segurança pública, civis ou militares, e dá outras providências.",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
112,alrs:disp-e-sobre-a-cria-o-de-carg,alrs,pl,1,2026,"Dispõe sobre a criação de cargos de Promotor de Justiça Substituto de Entrância Final, na Lei n. 7.669, de 17 de junho de 1982 – Lei Orgânica do Ministério Público do Estado do Rio Grande do Sul, e dá outras providências.",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
113,alrs:altera-os-anexos-ii-iii-iv-e,alrs,pl,1,2026,"Altera os Anexos II, III, IV e VII da Lei nº 13.268, de 22 de outubro de 2009, que estabelece Plano de Carreira para os servidores do Quadro de Pessoal do Tribunal de Contas do Estado, e dá outras providências. (SEI 13602-0100/23-7)",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
114,alrs:estabelece-normas-de-finan-as-,alrs,pl,1,2026,Estabelece normas de finanças públicas no âmbito do Estado voltadas para a responsabilidade na gestão fiscal com a adoção de mecanismos de limitação do gasto público e de controle e manutenção do equilíbrio das contas públicas.(SEI 9483-0100/21-9),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
115,alrs:altera-a-lei-estadual-n-7-669,alrs,pl,1,2026,"Altera a Lei Estadual n. 7.669, de 17 de junho de 1982 – Lei Orgânica do Ministério Público do Rio Grande do Sul.",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
